Fra:1 Mem:96.34M (Peak 98.64M) | Time:00:00.69 | Remaining:00:00.70 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Finished
Saved: '/Users/chrisgreen/Desktop/UniversalPerturbation/results/results_angle_5.jpg'
Time: 00:00.69 (Saving: 00:00.00)

yer | Sample 1792/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.55 | Remaining:00:00.48 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1808/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.55 | Remaining:00:00.48 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1824/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.55 | Remaining:00:00.47 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1840/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.55 | Remaining:00:00.46 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1856/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.55 | Remaining:00:00.46 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1872/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.55 | Remaining:00:00.45 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1888/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.55 | Remaining:00:00.44 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1904/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.55 | Remaining:00:00.44 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1920/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.55 | Remaining:00:00.43 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1936/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.55 | Remaining:00:00.42 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1952/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.55 | Remaining:00:00.42 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1968/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.55 | Remaining:00:00.41 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1984/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.55 | Remaining:00:00.40 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 2000/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.55 | Remaining:00:00.40 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 2016/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.55 | Remaining:00:00.39 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 2032/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.55 | Remaining:00:00.39 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 2048/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.55 | Remaining:00:00.38 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 2064/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.55 | Remaining:00:00.38 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 2080/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.55 | Remaining:00:00.37 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 2096/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.55 | Remaining:00:00.36 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 2112/4096
